kanji,english,components,on_reading,kun_reading
寧,rather,house; heart; eye; cross-eyed; net; street; nail; spike,ネイ,むし.ろ
濁,voiced,water; water droplets; water pistol; spider; eye; cross-eyed; net; bound up; insect,ダク; ジョク,にご.る; にご.す
環,ring,king; jewel; ball; trampoline; eye; cross-eyed; net; one; ceiling; mouth; scarf,カン,わ
還,send back,trampoline; eye; cross-eyed; net; one; ceiling; mouth; scarf; road,カン,かえ.る
夫,husband,one; large,フ; フウ; ブ,おっと; そ.れ
扶,aid,finger; fingers; husband,フ,たす.ける
渓,mountain stream,water; water droplets; water pistol; claw; vulture; husband,ケイ,たに; たにがわ
規,standard,husband; see; telescope; eye; human legs,キ,
替,exchange,husband; sun; day; tongue wagging,タイ,か.える; か.え-; か.わる
賛,approve,husband; shellfish; clam; oyster; eye; animal legs; eight,サン,たす.ける; たた.える
潜,submerge,water; water droplets; water pistol; exchange; husband; sun; day; tongue wagging,セン,ひそ.む; もぐ.る; かく.れる; くぐ.る; ひそ.める
失,lose,drop; husband,シツ,うしな.う; う.せる
鉄,iron,metal; gold; lose; drop; husband,テツ,くろがね
迭,alternate,transfer; lose; drop; husband; road,テツ,
臣,retainer,slave,シン; ジン,
姫,princess,woman; retainer; slave,キ,ひめ; ひめ-
蔵,storehouse,flowers; parade; retainer; slave,ゾウ; ソウ,くら; おさ.める; かく.れる
臓,entrails,moon; month; flesh; part of the body; storehouse; flowers; parade; retainer; slave,ゾウ,はらわた
賢,intelligent,loincloth; retainer; slave; crotch; shellfish; clam; oyster; eye; animal legs; eight,ケン,かしこ.い
腎,kidney,loincloth; retainer; slave; crotch; moon; month; flesh; part of the body,ジン,
堅,strict,loincloth; retainer; slave; crotch; soil; dirt; ground,ケン,かた.い; -がた.い
臨,look to,retainer; slave; reclining; lying down; goods; mouth,リン,のぞ.む
覧,perusal,retainer; slave; reclining; lying down; one; floor; look; see; telescope; eye; human legs,ラン,み.る
巨,gigantic,Fafner,キョ,
拒,repel,finger; fingers; gigantic; Fafner,キョ; ゴ,こば.む
力,power,muscle; arnold,リョク; リキ; リイ,ちから
男,man,rice field; brains; power; muscle; arnold,ダン; ナン,おとこ; お
労,labor,schoolhouse; owl; crown; power; muscle; arnold,ロウ,ろう.する; いたわ.る; いた.ずき; ねぎら; つか.れる; ねぎら.う
募,recruit,graveyard; flowers; sun; day; large; St. Bernard; power; muscle; arnold,ボ,つの.る
劣,inferiority,few; power; muscle; arnold,レツ,おと.る
功,achievement,craft; powered; power; muscle; arnold,コウ; ク,いさお
勧,persuade,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; power; muscle; arnold,カン; ケン,すす.める
努,toil,guy; woman; crotch; power; muscle; arnold,ド,つと.める
勃,uprising,bishop; cross; ten; needle; crown; child; power; muscle; arnold,ボツ; ホツ,おこ.る; にわかに
励,encourage,Wimbledon; cliff; ten thousand; power; muscle; arnold,レイ,はげ.む; はげ.ます
加,add,power; muscle; arnold; mouth,カ,くわ.える; くわ.わる
賀,congratulations,add; power; muscle; arnold; mouth; shellfish; clam; oyster; eye; animal legs; eight,ガ,
架,erect,add; power; muscle; arnold; mouth; tree; wood,カ,か.ける; か.かる
脇,armpit,moon; month; flesh; part of the body; triceps; power; muscle; arnold,キョウ,わき; わけ
脅,threaten,triceps; power; muscle; arnold; moon; month; flesh; part of the body,キョウ,おびや.かす; おど.す; おど.かす
協,co-,ten; needle; triceps; power; muscle; arnold,キョウ,
行,going,boulevard,コウ; ギョウ; アン,い.く; ゆ.く; -ゆ.き; -ゆき; -い.き; -いき; おこな.う; おこ.なう
律,rhythm,Nelson; column; going; line; brush,リツ; リチ; レツ,
復,restore,Nelson; column; going; line; fold back; double back; reclining; lying down; sun; day; walking legs,フク,また
得,gain,Nelson; column; going; line; bill posters; nightbreak; sun; day; one; floor; glue,トク,え.る; う.る
従,accompany,Nelson; column; going; line; horns; mend,ジュウ; ショウ; ジュ,したが.う; したが.える; より
徒,junior,Nelson; column; going; line; run; soil; dirt; ground; mend,ト,いたずら; あだ
待,wait,Nelson; column; going; line; Buddhist temple; soil; dirt; ground; glue,タイ,ま.つ; -ま.ち
往,journey,Nelson; column; going; line; candlestick; lord; drop; king; jewel; ball,オウ,い.く; いにしえ; さき.に; ゆ.く
征,subjugate,Nelson; column; going; line; correct; one; ceiling; stop; footprint,セイ,
径,diameter,Nelson; column; going; line; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ,みち; こみち; さしわたし; ただちに
彼,he,Nelson; column; going; line; pelt; branch; ten; needle; crotch; hook,ヒ,かれ; かの; か.の
役,duty,Nelson; column; going; line; cruise missile; missile; wind; crotch,ヤク; エキ,
徳,benevolence,Nelson; column; going; line; stethoscope; camel; ten; needle; eye; cross-eyed; net; heart,トク,
徹,penetrate,Nelson; column; going; line; borstal; bring up; infant; toddler; top hat; elbow; moon; month; flesh; part of the body; taskmaster,テツ,
徴,indications,sherpa; Nelson; column; going; line; mountain; king; jewel; ball; taskmaster,チョウ; チ,しるし
懲,penal,indications; sherpa; Nelson; column; going; line; mountain; king; jewel; ball; taskmaster; heart,チョウ,こ.りる; こ.らす; こ.らしめる
微,delicate,sherpa; Nelson; column; going; line; mountain; one; ceiling; human legs; taskmaster,ビ,かす.か
街,boulevard,going; ivy; square jewel; soil; dirt; ground,ガイ; カイ,まち
桁,girder,tree; wood; going,コウ,けた
衡,equilibrium,boulevard; going; bound up; rice field; brains; large; St. Bernard,コウ,
稿,draft,wheat; cereal; tall; top hat; mouth; hood; mouth,コウ,わら; したがき
稼,earnings,wheat; cereal; house; sow; pig,カ,かせ.ぐ
程,extent,wheat; cereal; display; mouth; king; jewel; ball,テイ,ほど; -ほど
税,tax,wheat; cereal; devil; horns; elder brother; teenager; mouth; human legs,ゼイ,
稚,immature,wheat; cereal; turkey,チ; ジ,いとけない; おさない; おくて; おでる
和,harmony,wheat; cereal; mouth,ワ; オ; カ,やわ.らぐ; やわ.らげる; なご.む; なご.やか
移,shift,wheat; cereal; many; evening,イ,うつ.る; うつ.す
秒,second,wheat; cereal; few,ビョウ,
秋,autumn,wheat; cereal; fire,シュウ,あき; とき
愁,distress,autumn; wheat; cereal; fire; heart,シュウ,うれ.える; うれ.い
私,private,wheat; cereal; elbow,シ,わたくし; わたし
秩,regularity,wheat; cereal; lose; drop; husband,チツ,
秘,secret,wheat; cereal; invariably; heart; drop,ヒ,ひ.める; ひそ.か; かく.す
称,appellation,wheat; cereal; hammock; reclining; lying down; small; little,ショウ,たた.える; とな.える; あ.げる; かな.う; はか.り; はか.る; ほめ.る
利,profit,wheat; cereal; sword; sabre; saber,リ,き.く
梨,pear tree,profit; wheat; cereal; sword; sabre; saber; tree; wood,リ,なし
穫,harvest,wheat; cereal; radio caroline; flowers; vessels; turkey; crotch,カク,
穂,ear of a plant,ear (of a plant); wheat; cereal; favour; favor; ten; needle; rice field; brains; heart,スイ,ほ
稲,rice plant,wheat; cereal; claw; vulture; old days; olden times; stick; sun; day,トウ; テ,いね; いな-
香,incense,wheat; cereal; sun; day,コウ; キョウ,か; かお.り; かお.る
季,seasons,wheat; cereal; child,キ,
委,committee,wheat; cereal; woman,イ,ゆだ.ねる
秀,excel,wheat; cereal; fist; from,シュウ,ひい.でる
透,transparent,excel; wheat; cereal; fist; from; road,トウ,す.く; す.かす; す.ける; とう.る; とう.す
誘,entice,say; words; keitai; mouth; excel; wheat; cereal; fist; from,ユウ; イウ,さそ.う; いざな.う
稽,training,wheat; cereal; understandably; chihuahua with one human leg; delicious; spoon; sitting on the ground; sun; day,ケイ,かんが.える; とど.める
穀,cereals,samurai; crown; wheat; cereal; cruise missile; missile; wind; crotch,コク,
菌,germ,flowers; pent in; wheat; cereal,キン,
萎,numb,flowers; committee; wheat; cereal; woman,イ,な; しお.れる; しな.びる; しぼ.む; な.える
米,rice,,ベイ; マイ; メエトル,こめ; よね
粉,flour,rice; part; eight; sword; dagger,フン; デシメートル,こ; こな
粘,sticky,rice; fortune-telling; magic wand; augury; mouth,ネン,ねば.る
粒,grains,rice; vase; stand up,リュウ,つぶ
粧,cosmetics,rice; shire; cave; soil; dirt; ground,ショウ,
迷,astray,rice; road,メイ,まよ.う
粋,chic,rice; ninety; nine; baseball; ten; needle,スイ,いき
謎,riddle,say; words; keitai; mouth; astray; rice; road,メイ; ベイ,なぞ
糧,provisions,rice; quantity; nightbreak; sun; day; one; floor; computer,リョウ; ロウ,かて
菊,chrysanthemum,flowers; rice cooker; bound up; rice,キク,
奥,core,drop; pent in; rice; large; St. Bernard,オウ; オク,おく.まる; くま
数,number,rice; woman; taskmaster,スウ; ス; サク; ソク; シュ,かず; かぞ.える; しばしば; せ.める; わずらわ.しい
楼,watchtower,tree; wood; rice; woman,ロウ,たかどの
類,sort,rice; large; St. Bernard; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ルイ,たぐ.い
漆,lacquer,water; water droplets; water pistol; tree; wood; umbrella; grains of rice,シツ,うるし
膝,knee,moon; month; flesh; part of the body; tree; wood; umbrella; grains of rice,シツ,ひざ
様,Esq.,tree; wood; sheep; grains of rice,ヨウ; ショウ,さま; さん
求,request,arrow; grains of rice,キュウ; グ,もと.める
球,ball,king; jewel; request; arrow; grains of rice,キュウ,たま
救,salvation,request; arrow; grains of rice; taskmaster,キュウ,すく.う
竹,bamboo,,チク,たけ
笑,laugh,bamboo; heavens,ショウ,わら.う; え.む
笠,bamboo hat,bamboo; vase; stand up,リュウ,かさ
笹,bamboo grass,bamboo; generation,,ささ
箋,stationery,,,
筋,muscle,bamboo; moon; month; flesh; part of the body; power; arnold,キン,すじ
箱,box,bamboo; inter; Inter Milan; tree; wood; eye,ソウ,はこ
筆,writing brush,bamboo; brush,ヒツ,ふで
筒,cylinder,bamboo; same; monks; hood; one; mouth,トウ,つつ
等,etc.,bamboo; Buddhist temple; soil; dirt; ground; glue,トウ,ひと.しい; など; -ら
算,calculate,bamboo; eye; two hands,サン,そろ
答,solution,bamboo; fit; meeting; umbrella; one; mouth,トウ,こた.える; こた.え
策,scheme,bamboo; tree; wood; belt,サク,
簿,register,bamboo; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ボ,
築,fabricate,bamboo; barge; craft; mediocre; wind; drop; tree; wood,チク,きず.く
篭,basket,,,
人,person,,ジン; ニン,ひと; -り; -と
佐,assistant,person; left; by one’s side; craft,サ,
侶,partner,person; spine; mouth; drop; mouth,リョ; ロ,とも
但,however,person; nightbreak; sun; day; one; floor,タン,ただ.し
住,dwell,person; candlestick; lord; drop; king; jewel; ball,ジュウ; ヂュウ; チュウ,す.む; す.まう; -ず.まい
位,rank,person; vase; stand up,イ,くらい; ぐらい
仲,go-between,person; in; stick; mouth,チュウ,なか
体,body,person; origin; book; tree; wood; one,タイ; テイ,からだ; かたち
悠,remote,permanence; person; stick; fred astaire; taskmaster; heart,ユウ,
件,affair,person; cow,ケン,くだん
仕,attend,person; samurai,シ; ジ,つか.える
他,other,person; scorpion,タ,ほか
伏,prostrated,person; chihuahua; dog; large; drop,フク,ふ.せる; ふ.す
伝,transmit,person; rising cloud; two; elbow; wall,デン; テン,つた.わる; つた.える; つた.う; つだ.う; -づた.い; つて
仏,Buddha,buddha; person; elbow,ブツ; フツ,ほとけ
休,rest,person; tree; wood,キュウ,やす.む; やす.まる; やす.める
仮,provisional,sham; person; anti-; demonstration; cliff; crotch,カ; ケ,かり; かり-
伎,performing artist,person; branch; ten; needle; crotch,ギ; キ,わざ; わざおぎ
伯,chief,person; white; dove,ハク,
俗,vulgar,person; valley; eight; umbrella; mouth,ゾク,
信,faith,person; say; words; keitai; mouth,シン,
佳,excellent,person; ivy; square jewel; soil; dirt; ground,カ,
依,reliant,person; cloth; clothes; clothing; garment,イ; エ,よ.る
例,example,person; file; bones; one; ceiling; evening; sword; sabre; saber,レイ,たと.える
個,individual,person; harden; pent in; old; tombstone; gravestone; church; ten; needle; mouth,コ; カ,
健,healthy,person; build; brush; stretch,ケン,すこ.やか
側,side,person; rule; shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,かわ; がわ; そば
侍,waiter,person; Buddhist temple; soil; dirt; ground; glue,ジ; シ,さむらい; はべ.る
停,halt,person; pavilion; tall; top hat; mouth; crown; street; nail; spike,テイ,と.める; と.まる
値,price,person; straightaway; ten; needle; eye; fishhook,チ,ね; あたい
倣,emulate,person; set free; compass; direction; taskmaster,ホウ,なら.う
傲,arrogance,,ゴウ,あなど.る; おご.る
倒,overthrow,person; arrival; climax; wall; one; ceiling; elbow; soil; dirt; ground; sword; sabre; saber,トウ,たお.れる; -だお.れ; たお.す
偵,spy,person; upright; magic wand; augury; shellfish; clam; oyster; eye; animal legs; eight,テイ,
僧,Buddhist priest,buddhist priest; person; increase; formerly; horns; rice field; brains; sun; day,ソウ,
億,hundred million,person; idea; sound; vase; stand up; sun; day; heart,オク,
儀,ceremony,person; righteousness; sheep; ego; hand; fiesta,ギ,
償,reparation,person; prize; outhouse; small; little; crown; mouth; shellfish; clam; oyster; eye; animal legs; eight,ショウ,つぐな.う
仙,hermit,person; mountain,セン; セント,
催,sponsor,person; mountain; turkey,サイ,もよう.す; もよお.す
仁,humanity,person; two,ジン; ニ; ニン,
侮,scorn,person; every; reclining; lying down; mother; breasts,ブ,あなど.る; あなず.る
使,use,person; history; length; stick; mouth; tucked under the arm,シ,つか.う; つか.い; -つか.い; -づか.い
便,convenience,person; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,ベン; ビン,たよ.り
倍,double,person; muzzle; vase; stand up; mouth,バイ,
優,tenderness,person; melancholy; summer; head; page; crown; heart; walking legs,ユウ; ウ,やさ.しい; すぐ.れる; まさ.る
伐,fell,person; fiesta,バツ; ハツ; カ; ボチ,き.る; そむ.く; う.つ
宿,inn,house; person; hundred; one; ceiling; white; dove,シュク,やど; やど.る; やど.す
傷,wound,person; reclining; lying down; piggy bank; sun; day; piglets,ショウ,きず; いた.む; いた.める
保,protect,person; dumbfounded; mouth; tree; wood,ホ; ホウ,たも.つ
褒,praise,top hat; protect; person; dumbfounded; mouth; tree; wood; scarf,ホウ,ほ.める
傑,greatness,person; sunglasses; dancing legs; ballerina; evening; tree; wood,ケツ,すぐ.れる
付,adhere,person; glue,フ,つ.ける; -つ.ける; -づ.ける; つ.け; つ.け-; -つ.け; -づ.け; -づけ; つ.く; -づ.く; つ.き; -つ.き; -つき; -づ.き; -づき
符,token,bamboo; adhere; sellotape; person; glue,フ,
府,municipality,borough; cave; adhere; sellotape; person; glue,フ,
任,responsibility,person; porter; drop; samurai,ニン,まか.せる; まか.す
賃,fare,responsibility; person; porter; drop; samurai; shellfish; clam; oyster; eye; animal legs; eight,チン,
代,substitute,person; arrow,ダイ; タイ,か.わる; かわ.る; かわ.り; -がわ.り; か.える; よ; しろ
袋,sack,substitute; person; arrow; garment,タイ; ダイ,ふくろ
貸,lend,substitute; person; arrow; shellfish; clam; oyster; eye; animal legs; eight,タイ,か.す; か.し-; かし-
化,change,person; spoon; sitting on the ground,カ; ケ,ば.ける; ば.かす; ふ.ける; け.する
花,flower,flowers; change; person; spoon; sitting on the ground,カ; ケ,はな
貨,freight,change; person; spoon; sitting on the ground; shellfish; clam; oyster; eye; animal legs; eight,カ,たから
